TITLE,REVIEW
['My all time favorite camera!'],"['I paired my 6D with a Sigma art 35mm and 85mm. After two years of owning this camera and using it almost every day for my photography business I feel like I need to leave a review to guide anyone looking for a reliable camera for their photography business. I specialized in Pet photography and also do a lot of family sessions and the live mode touch screen in addition to single point focus was ESSENTIAL for my pet photos! It was a total game changer! I was able to quickly and easily focus on the eyes with just tapping on the screen! I have tried upgrading to different cameras and ALWAYS come back to my 6D Mii. The colors are amazing and does everything I need it to! The one thing I wish was better it’s ability in low light. I am a natural light/outdoor photographer so I rarely needed it in low light situations, but when I did it didn’t really perform as well as I had hoped. It was definitely a lot better that my old Canon Rebel which was a crop sensor. If you are on the fence about buying this camera I highly recommend it! It is my all time favorite camera especially for the price! I call it Ole reliable because it never lets me down!']"
['Very nice camera'],"['Between the 6D Mark II and the 80D I chose to go Full Frame. For $1800 after tax I got the camera and the STM 24-105 Lens. And have been learning AP mode and manual mode (the dog pictures I uploaded are in manual) and I am getting much better results than auto mode. The auto focus is great and use it more than manual focus. Image quality is great, comparing it to budget DSLR\'s like the Rebel it is a night and day difference. The STM isn\'t mentioned much in reviews, It is good for an all around lens, but I will certainly get a nicer lens for detailed portraits, It isn\'t very sharp when zoomed past 50 but I don\'t have the $ for a high end lens right now. After uploading the pictures on photoshop or light room I noticed the colors seem a little ""washed out"" which I read in several pro reviews so it isn\'t just me. But the image quality is just amazing, I can\'t put this camera down and can\'t wait to take it out on weekends. I would use this camera for anything from weddings to portraits, street photography, landscapes, what ever you desire. With the 40,000 iso you can take some great pictures in low light, it DOES NOT have a flash, you must buy an external flash for it, however you are not going to have awful results without one like you would with a budget crop sensor. It does not have 4k video, but I need it for photography not video. Yet a brand new iphone or Galaxy won\'t touch the 1080p video the 6d mark II puts out. DOES NOT COME WITH A USB CORD, the wireless connect is a headache so I ordered a usb cord and do it the old fashion way. The bluetooth is neat for viewing images on your phone instead of looking at a smaller 3"" screen. The 6D Mark II does what I need it to, buya nice lens for it, stay out of auto mode and you have a professional camera no if ands or buts.']"
['Great Overall Camera In Low Light'],"['I upgraded two weeks ago, from a Canon 70D to the 6D Mk II and could not be happier. The AF in low light along with the superb full frame CMOS sensor delivers a noticeable enough difference in image quality and depth to justify the purchase. This was my first venture into the full frame line up and it has allowed me to be much more creative in low light close quarters without seeing any real noise. The only drawback for me is the 6.5 fps as I do a lot of fast action, thus, a slightly slimmer chance of framing the ""perfect"" shot. Perfectly accepted as a tradeoff. I am anxious to try out the 4K video time lapse feature. I have attached two pictures that were taken at night in normal room low lighting. Details are on the pictures.']"
"['All I can say is, ""Wow!""']","[""I just received my 6D II yesterday. I am impressed, to say the least. However, when I saw the thickness of the owner's manual I almost had heart failure! It's over an inch thick! But...it's in three languages so that explained a lot. *Whew* I immediately charged the battery and took some test shots. Totally impressed. The experts may not be too crazy about the 6D II but I am! I upgraded from my trusty 40D and I am not sorry I did. I use two L series lenses: 24-70 f/2.8 and a 70-200 f/2.8. The 6D II will make those lenses shine even more. The attached images were taken with the 6D II with the Canon 24-70mm f/2.8 L lens-hand held with only available lighting. Aperture priority setting and auto ISO. RAW converted to .jpg with Photoshop Lightroom. TAKE NOTE!: RAW images taken with cameras manufactured after 12/2017 are no longer compatible with most older Apps and/or programs. My LR 4.0 could not read the RAW images taken by the 6D II. You will/may need to upgrade. I had to forsake my trusty LR 4.0 and became a paying member of Adobe's Creative Cloud family. I chose to download just Lightroom. $9.99/month plus applicable taxes. There are some work-arounds but I chose to simply upgrade. For some, not having 4K video may be an issue. Did not matter to me as I seldom use video. This WILL be a great upgrade to an enthusiast's full-frame. I still have lots to read and learn about the 6D II so I just may be adding to this review. Enjoy!!""]"
['Huge Upgrade From Where I Was.'],"['I upgraded from the 70D, which was an excellent camera, to my first full frame and the results are amazing. It handles the low light / high iso noise incredibly well. Both of the pictures below were shot with the Canon 6D Mk II and a Canon 70-200mm f2.8L using only dim room lighting. No flash. Judge for yourself. I am very impressed and pleased with my purchase. I could not pull these off with the 70D.']"
['Great full frame camera with excellent color'],"[""After about 1100 images, I have found the Canon 6D mkII to be very capable and quiet for a fast shutter camera. The 2 things I don't like about it is the lack of exposure control when shooting in HSS mode and the lack of a flash sync. Other than that, It is easy to use and captures colors and fine detail all of the clarity your lens will allow.""]"
['Excellent upgrade from crop sensor'],"['I got this as an upgrade from the Canon T7i. I wanted to try a full frame camera. I am very happy with the upgraded image quality. It is definitely not a drastic difference, However it is noticable to me. I am very pleased with the purchase and am having a great time using it.']"
['Most amazing camera'],"['I’m so in love with this camera and it’s the best full frame camera purchase, I love it and I love my pictures and how amazingly beautiful it comes out']"
['Great Upgrade To a Full Frame'],"[""This is my first Full Frame Camera. I upgraded from a Canon 77D to this and so far I haven't found anything I don't like about it.""]"
['Most Technically Advanced Camera To Date!'],"[""Incredible performance from this work of art & I'm pleased to own one!""]"
